data,filename
https://cdc.redeem.gov.sg/1VX8NADTAOVZRIN,https---cdc.redeem.gov.sg-1VX8NADTAOVZRIN.png
https://cdc.redeem.gov.sg/44ZCWOFD4AAWU9C,https---cdc.redeem.gov.sg-44ZCWOFD4AAWU9C.png
https://cdc.redeem.gov.sg/9CAHWTXCDJ5OK02,https---cdc.redeem.gov.sg-9CAHWTXCDJ5OK02.png
https://cdc.redeem.gov.sg/GQZODLLUAWIEH9L,https---cdc.redeem.gov.sg-GQZODLLUAWIEH9L.png
https://cdc.redeem.gov.sg/K0F01524791NDKC,https---cdc.redeem.gov.sg-K0F01524791NDKC.png
https://cdc.redeem.gov.sg/KJSIJ1BNRYZTZ6Z,https---cdc.redeem.gov.sg-KJSIJ1BNRYZTZ6Z.png
https://cdc.redeem.gov.sg/M5F5CM5QYSFACA0,https---cdc.redeem.gov.sg-M5F5CM5QYSFACA0.png
https://cdc.redeem.gov.sg/NGOHO9VVEAOS5Z1,https---cdc.redeem.gov.sg-NGOHO9VVEAOS5Z1.png
https://cdc.redeem.gov.sg/PU8YY15CS08DAUR,https---cdc.redeem.gov.sg-PU8YY15CS08DAUR.png
https://cdc.redeem.gov.sg/XOWQ7DVQVQH2WIP,https---cdc.redeem.gov.sg-XOWQ7DVQVQH2WIP.png
